Date,Open,High,Low,Close,Adj Close,Volume
3/22/1962,6.998088,6.998088,6.9471,6.9471,1.454698,251040
3/23/1962,6.953474,6.985341,6.953474,6.972594,1.460035,196125
3/26/1962,6.972594,6.998088,6.959847,6.969407,1.459368,141210
3/27/1962,6.953474,6.953474,6.832377,6.838751,1.432008,368715
3/28/1962,6.845124,6.896112,6.845124,6.876992,1.440016,345180
3/29/1962,6.876992,6.908859,6.857871,6.857871,1.436013,243195
3/30/1962,6.845124,6.845124,6.759082,6.79095,1.421999,462855
4/2/1962,6.787763,6.787763,6.698534,6.698534,1.402648,392250
4/3/1962,6.692161,6.692161,6.462715,6.532823,1.36795,957090
4/4/1962,6.532823,6.590185,6.504143,6.504143,1.361942,682515
4/5/1962,6.539197,6.641173,6.539197,6.641173,1.390637,957090
4/6/1962,6.641173,6.692161,6.590185,6.634799,1.389303,455010
4/9/1962,6.634799,6.67304,6.590185,6.641173,1.390637,23535
4/10/1962,6.641173,6.666667,6.602932,6.666667,1.395975,274575
4/11/1962,6.666667,6.717655,6.577438,6.577438,1.377291,556995
4/12/1962,6.577438,6.590185,6.50733,6.50733,1.362611,423630
4/13/1962,6.50733,6.602932,6.500956,6.602932,1.38263,658980
4/16/1962,6.602932,6.647546,6.52645,6.596558,1.381294,533460
4/17/1962,6.596558,6.628426,6.564691,6.628426,1.387968,313800
4/18/1962,6.628426,6.685787,6.609305,6.615679,1.385299,447165
4/19/1962,6.615679,6.641173,6.590185,6.615679,1.385299,407940
4/23/1962,6.615679,6.622052,6.583811,6.609305,1.383964,329490
4/24/1962,6.609305,6.650733,6.596558,6.602932,1.38263,478545
4/25/1962,6.602932,6.628426,6.532823,6.532823,1.36795,486390
4/26/1962,6.52645,6.52645,6.367113,6.367113,1.33325,972780
4/27/1962,6.367113,6.437221,6.118547,6.188655,1.295882,1710210
4/30/1962,6.188655,6.246017,5.736138,5.787126,1.211802,2455485
5/1/1962,5.787126,5.920969,5.481198,5.889101,1.233155,5562105
5/2/1962,5.991077,6.169535,5.991077,6.022945,1.261183,2675145
5/3/1962,6.022945,6.169535,5.97833,6.147228,1.287207,1427790
5/4/1962,6.147228,6.195029,6.086679,6.195029,1.297216,815880
5/7/1962,6.195029,6.24283,6.057999,6.057999,1.268523,870795
5/8/1962,6.050032,6.050032,5.857234,5.857234,1.226677,1082610
5/9/1962,5.857234,5.911409,5.736138,5.748885,1.203985,1678830
5/10/1962,5.748885,5.860421,5.723391,5.774379,1.209325,2000475
5/11/1962,5.774379,5.863607,5.659656,5.68515,1.190637,1984785
5/14/1962,5.68515,5.793499,5.586361,5.793499,1.213328,2855580
5/15/1962,5.793499,5.901848,5.761632,5.761632,1.206655,1765125
5/16/1962,5.761632,5.857234,5.761632,5.825366,1.220002,925710
5/17/1962,5.825366,5.825366,5.697897,5.723391,1.198647,1019850
5/18/1962,5.723391,5.755258,5.678776,5.755258,1.20532,768810
5/21/1962,5.755258,5.755258,5.68515,5.736138,1.201315,415785
5/22/1962,5.729764,5.729764,5.544933,5.544933,1.161272,1051230
5/23/1962,5.544933,5.583174,5.29318,5.29318,1.108547,3028170
5/24/1962,5.29318,5.43021,5.073295,5.073295,1.062497,4346130
5/25/1962,5.073295,5.188018,4.945825,5.079669,1.063832,4503030
5/28/1962,5.060548,5.060548,4.525175,4.601657,0.963722,4518720
5/29/1962,4.659018,4.933078,4.659018,4.882091,1.022454,4040175
5/31/1962,4.971319,5.098789,4.971319,5.003187,1.047815,4322595
6/1/1962,4.984066,4.984066,4.878904,4.907584,1.027793,2526090
6/4/1962,4.84385,4.84385,4.58891,4.58891,0.961053,1898490
6/5/1962,4.58891,4.767368,4.499681,4.641491,0.972064,3310590
6/6/1962,4.641491,4.792862,4.614404,4.659018,0.975736,3012480
6/7/1962,4.690886,4.767368,4.690886,4.71638,0.987748,1286580
6/8/1962,4.719567,4.792862,4.719567,4.732314,0.991086,1223820
6/11/1962,4.732314,4.741874,4.56979,4.576163,0.958382,1247355
6/12/1962,4.525175,4.525175,4.271829,4.271829,0.894646,3483180
6/13/1962,4.271829,4.372212,4.107712,4.112492,0.861277,4589325
6/14/1962,4.112492,4.228808,3.824092,3.900574,0.816895,6989895
6/15/1962,3.900574,4.263862,3.830465,4.251115,0.890308,6621180
6/18/1962,4.251115,4.330784,4.047164,4.203314,0.880298,4989420
6/19/1962,4.203314,4.282983,4.155513,4.282983,0.896982,2204445
6/20/1962,4.282983,4.369025,4.181007,4.181007,0.875625,3200760
6/21/1962,4.130019,4.130019,4.018483,4.024857,0.842924,3883275
6/22/1962,4.024857,4.098152,3.957935,4.079031,0.854269,3530250
6/25/1962,4.079031,4.282983,4.02167,4.238368,0.887639,3969570
6/26/1962,4.238368,4.321224,4.079031,4.079031,0.854269,3381195
6/27/1962,4.085405,4.244742,4.085405,4.244742,0.888974,3098775
6/28/1962,4.273423,4.44232,4.273423,4.384959,0.918339,4275525
6/29/1962,4.384959,4.429573,4.311663,4.32441,0.905659,2957565
7/2/1962,4.32441,4.46144,4.31485,4.46144,0.934357,1459170
7/3/1962,4.46144,4.509242,4.435946,4.480561,0.938361,2706525
7/5/1962,4.480561,4.499681,4.445507,4.46144,0.934357,2110305
7/6/1962,4.410453,4.410453,4.359465,4.397706,0.921008,1702365
7/9/1962,4.397706,4.467814,4.346718,4.464627,0.935025,1976940
7/10/1962,4.541109,4.611217,4.541109,4.572976,0.957716,3192915
7/11/1962,4.572976,4.773741,4.553856,4.772148,0.999428,3467490
7/12/1962,4.783301,4.968133,4.783301,4.831103,1.011775,3451800
7/13/1962,4.831103,4.86297,4.748247,4.796048,1.004433,2204445
7/16/1962,4.796048,4.875717,4.748247,4.875717,1.021118,1733745
7/17/1962,4.875717,4.901211,4.71638,4.717973,0.988082,1788660
7/18/1962,4.717973,4.741874,4.614404,4.655832,0.975068,2549625
7/19/1962,4.681326,4.792862,4.681326,4.684512,0.981074,2298585
7/20/1962,4.697259,4.767368,4.697259,4.741874,0.993087,713895
7/23/1962,4.741874,4.805609,4.7355,4.754621,0.995757,878640
7/24/1962,4.729127,4.729127,4.630338,4.630338,0.969729,933555
7/25/1962,4.630338,4.697259,4.572976,4.684512,0.981074,1969095
7/26/1962,4.70682,4.754621,4.70682,4.710006,0.986414,996315
7/27/1962,4.710006,4.791268,4.70682,4.791268,1.003432,996315
7/30/1962,4.821542,4.937859,4.821542,4.937859,1.034132,2981100
7/31/1962,4.937859,5.015934,4.933078,4.933078,1.033132,2902650
8/1/1962,4.920331,4.920331,4.796048,4.796048,1.004433,1278735
8/2/1962,4.799235,4.917145,4.799235,4.917145,1.029794,1561155
8/3/1962,4.917145,4.939452,4.869344,4.907584,1.027793,996315
8/6/1962,4.907584,4.926705,4.837476,4.84385,1.014445,6911445
8/7/1962,4.839069,4.839069,4.757808,4.757808,0.996621,964935
8/8/1962,4.757808,4.882091,4.722753,4.866157,1.019317,1655295
8/9/1962,4.86297,4.86297,4.781708,4.799235,1.005299,1349340
8/10/1962,4.799235,4.840663,4.781708,4.789675,1.003297,1027695
8/13/1962,4.792862,4.840663,4.792862,4.827916,1.011307,1066920
8/14/1962,4.827916,4.920331,4.819949,4.920331,1.030665,1984785
8/15/1962,4.926705,5.025494,4.926705,4.926705,1.032001,2455485
8/16/1962,4.926705,5.006373,4.917145,4.923518,1.031333,1333650
8/17/1962,4.923518,4.99044,4.920331,4.964946,1.040011,933555
8/20/1962,4.99044,5.063735,4.99044,5.01912,1.051359,1890645
8/21/1962,5.01912,5.073295,4.996813,5.006373,1.048688,1357185
8/22/1962,5.015934,5.245379,5.015934,5.213512,1.092078,3459645
8/23/1962,5.213512,5.286807,5.191205,5.232632,1.096084,3059550
8/24/1962,5.232632,5.239006,5.194391,5.213512,1.092078,1310115
8/27/1962,5.213512,5.248566,5.194391,5.200765,1.089407,957090
8/28/1962,5.197578,5.197578,5.015934,5.015934,1.050691,2879115
8/29/1962,5.015934,5.047801,4.949012,4.984066,1.044016,2635920
8/30/1962,4.984066,5.028681,4.933078,4.942639,1.035339,996315
8/31/1962,4.952199,5.070108,4.952199,5.050988,1.058035,1286580
9/4/1962,5.050988,5.117909,4.920331,4.939452,1.03467,1702365
9/5/1962,4.939452,4.996813,4.86297,4.882091,1.022655,2353500
9/6/1962,4.882091,4.956979,4.856597,4.945825,1.036006,1898490
9/7/1962,4.945825,4.982473,4.87253,4.87253,1.020652,1380720
9/10/1962,4.87253,4.929892,4.811982,4.898024,1.025993,1890645
9/11/1962,4.898024,4.942639,4.856597,4.869344,1.019985,1616070
9/12/1962,4.875717,4.926705,4.875717,4.890057,1.024323,1365030
9/13/1962,4.890057,4.926705,4.886871,4.888464,1.023989,886485
9/14/1962,4.888464,4.958572,4.882091,4.949012,1.036673,1145370
9/17/1962,4.958572,5.044614,4.958572,5.035054,1.054697,1529775
9/18/1962,5.035054,5.097196,4.99044,4.996813,1.046685,2384880
9/19/1962,4.996813,5.015934,4.923518,4.923518,1.031333,1537620
9/20/1962,4.923518,4.964946,4.87253,4.878904,1.021988,925710
9/21/1962,4.875717,4.875717,4.786488,4.802422,1.005967,2235825
9/24/1962,4.748247,4.748247,4.611217,4.614404,0.966583,2745750
9/25/1962,4.614404,4.70682,4.576163,4.70682,0.985941,2557470
9/26/1962,4.70682,4.713193,4.531549,4.531549,0.949227,2149530
9/27/1962,4.531549,4.585723,4.44232,4.46144,0.934541,3012480
9/28/1962,4.464627,4.544296,4.464627,4.506055,0.943886,1482705
10/1/1962,4.506055,4.506055,4.337157,4.338751,0.908841,1937715
10/2/1962,4.375398,4.477374,4.375398,4.466221,0.935542,2965410
10/3/1962,4.466221,4.537922,4.423199,4.44232,0.930536,1882800
10/4/1962,4.44232,4.563416,4.423199,4.560229,0.955234,1365030
10/5/1962,4.560229,4.612811,4.528362,4.592097,0.96191,1820040
10/8/1962,4.592097,4.608031,4.576163,4.585723,0.960574,666825
10/9/1962,4.601657,4.684512,4.601657,4.668579,0.977931,1239510
10/10/1962,4.668579,4.738687,4.553856,4.577757,0.958906,1898490
10/11/1962,4.577757,4.633525,4.528362,4.537922,0.950562,1427790
10/12/1962,4.537922,4.547482,4.486934,4.528362,0.948559,1090455
10/15/1962,4.550669,4.678139,4.550669,4.678139,0.979933,972780
10/16/1962,4.678139,4.697259,4.557043,4.557043,0.954567,1317960
10/17/1962,4.557043,4.652645,4.531549,4.608031,0.965247,1443480
10/18/1962,4.608031,4.639898,4.526769,4.526769,0.948225,1027695
10/19/1962,4.526769,4.537922,4.435946,4.43754,0.929534,2479020
10/22/1962,4.396112,4.396112,4.318037,4.372212,0.91585,2871270
10/23/1962,4.372212,4.372212,4.206501,4.206501,0.881139,2635920
10/24/1962,4.206501,4.333971,4.104525,4.333971,0.907839,3859740
10/25/1962,4.333971,4.340344,4.231995,4.31485,0.903834,2800665
10/26/1962,4.29573,4.29573,4.196941,4.225621,0.885144,1623915
10/29/1962,4.308477,4.394519,4.308477,4.391332,0.919855,3687150
10/30/1962,4.391332,4.486934,4.348311,4.483748,0.939213,2769285
10/31/1962,4.474187,4.474187,4.388145,4.410453,0.923861,1231665
11/1/1962,4.410453,4.486934,4.359465,4.486934,0.939882,2086770
11/2/1962,4.486934,4.714786,4.423199,4.553856,0.9539,3279210
11/5/1962,4.57935,4.643085,4.57935,4.608031,0.965449,1812195
11/7/1962,4.608031,4.671765,4.537922,4.604844,0.964782,1827885
11/8/1962,4.604844,4.652645,4.528362,4.528362,0.948758,1333650
11/9/1962,4.550669,4.608031,4.550669,4.604844,0.964782,1153215
11/12/1962,4.659018,4.767368,4.659018,4.760994,0.997498,2275050
11/13/1962,4.760994,4.786488,4.674952,4.674952,0.979471,2212290
11/14/1962,4.681326,4.786488,4.681326,4.773741,1.000169,1929870
11/15/1962,4.773741,4.835883,4.748247,4.748247,0.994827,2180910
11/16/1962,4.748247,4.824729,4.703633,4.824729,1.010852,1569000
11/19/1962,4.824729,4.824729,4.741874,4.741874,0.993492,980625
11/20/1962,4.767368,4.823136,4.767368,4.797642,1.005176,1176750
11/21/1962,4.797642,4.840663,4.773741,4.808795,1.007513,1670985
11/23/1962,4.808795,4.945825,4.783301,4.945825,1.036223,2894805
11/26/1962,4.945825,5.031867,4.926705,4.955386,1.038226,2243670
11/27/1962,4.955386,5.044614,4.926705,5.031867,1.05425,1812195
11/28/1962,5.041428,5.111536,5.041428,5.066922,1.061594,2784975
11/29/1962,5.066922,5.111536,5.057361,5.111536,1.070941,1835730
