Date,Open,High,Low,Close,Adj Close,Volume
9/8/2023,147.350006,148.589996,147.259995,147.679993,143.282318,3722800
9/11/2023,148.570007,148.779999,147.580002,148.380005,143.961487,3273600
9/12/2023,147.919998,148,145.800003,146.300003,141.94342,4457700
9/13/2023,145.949997,146.979996,145.919998,146.550003,142.185989,2627800
9/14/2023,147.380005,147.729996,146.479996,147.350006,142.962158,2723100
9/15/2023,147.110001,147.850006,145.529999,145.990005,141.642654,6231400
9/18/2023,145.770004,146.479996,145.059998,145.089996,140.769455,2508100
9/19/2023,145,146.720001,144.660004,146.520004,142.156876,3945400
9/20/2023,148.360001,151.929993,148.130005,149.830002,145.368317,9632400
9/21/2023,149,149.25,147.309998,147.380005,142.991257,4944600
9/22/2023,147.410004,148.100006,146.820007,146.910004,142.535263,2562000
9/25/2023,146.570007,147.429993,146.25,146.479996,142.118057,2694200
9/26/2023,145.509995,146.169998,143.020004,143.240005,138.974548,4824700
9/27/2023,143.669998,143.820007,141.759995,143.169998,138.906616,4439800
9/28/2023,142.139999,142.279999,140.210007,141.580002,137.363968,5783200
9/29/2023,142,142.130005,139.610001,140.300003,136.122101,5703600
10/2/2023,140.039993,141.449997,139.860001,140.800003,136.607208,3275300
10/3/2023,140.869995,141.639999,140,140.389999,136.209412,3284400
10/4/2023,140.369995,141.199997,139.990005,141.070007,136.869171,2637600
10/5/2023,140.899994,141.699997,140.190002,141.520004,137.305771,3223900
10/6/2023,141.399994,142.940002,140.110001,142.029999,137.800568,3511100
10/9/2023,142.300003,142.399994,140.679993,142.199997,137.965515,2354400
10/10/2023,142.600006,143.419998,141.720001,142.110001,137.878204,3015800
10/11/2023,142.509995,143.339996,142.139999,143.229996,138.964828,2511500
10/12/2023,142.509995,142.929993,140.949997,141.240005,137.034103,3921100
10/13/2023,139.770004,140.119995,138.270004,138.460007,134.336899,4582800
10/16/2023,139.279999,139.779999,138.520004,139.210007,135.06456,3361500
10/17/2023,137.119995,140.619995,136.309998,140.320007,136.141495,4172800
10/18/2023,140,140.429993,139.580002,139.970001,135.80191,3330000
10/19/2023,138.639999,139.410004,137.929993,138.009995,133.900269,5314200
10/20/2023,138.149994,139.270004,137.119995,137.160004,133.075592,4865300
10/23/2023,136.630005,137.679993,135.869995,136.380005,132.318832,3457500
10/24/2023,136.740005,137.979996,136.050003,137.789993,133.686829,3698000
10/25/2023,137.5,138.490005,136.330002,137.080002,132.997986,6472500
10/26/2023,142.199997,144.410004,141.580002,143.759995,139.47905,11130200
10/27/2023,143.619995,144.699997,141.710007,142.520004,138.275986,5469200
10/30/2023,143.190002,144.5,142.580002,142.630005,138.382721,4204100
10/31/2023,143,144.759995,142.589996,144.639999,140.33284,6591800
11/1/2023,145,146.509995,144.449997,145.399994,141.070206,4750100
11/2/2023,145.770004,147.100006,144.839996,147.009995,142.632263,3902700
11/3/2023,147.449997,148.449997,147.279999,147.899994,143.495758,3510100
11/6/2023,147.889999,149.229996,147.850006,148.970001,144.53392,4597200
11/7/2023,149.029999,149.279999,148.029999,148.830002,144.398087,3549900
11/8/2023,149.25,149.679993,147.589996,148.029999,143.621902,3618600
11/9/2023,146.550003,146.990005,145.279999,146.619995,143.867218,3412700
11/10/2023,147.440002,149.169998,146.850006,149.020004,146.222168,3179000
11/13/2023,148.460007,148.490005,147.350006,148.100006,145.319427,2647200
11/14/2023,149.449997,150.809998,149.050003,150.410004,147.58606,4321900
11/15/2023,150.399994,153.220001,150.399994,152.580002,149.715317,4632500
11/16/2023,153,153.350006,152.130005,153.059998,150.186295,3519200
11/17/2023,153.289993,153.5,152.460007,152.889999,150.019501,4426500
11/20/2023,152.509995,154.679993,152.350006,154.350006,151.452087,3658500
11/21/2023,154.600006,154.660004,153.509995,153.910004,151.020355,2859500
11/22/2023,154.5,155.710007,154.160004,155.130005,152.217453,3044700
11/24/2023,155.130005,155.399994,153.919998,155.179993,152.266479,1799200
11/27/2023,154.990005,156.139999,154.75,155.570007,152.649185,4053100
11/28/2023,155.440002,155.75,154.860001,155.649994,152.727676,2666200
11/29/2023,156.149994,157.509995,156.020004,156.410004,153.473404,3568900
11/30/2023,156.949997,158.600006,156.889999,158.559998,155.583038,6740600
12/1/2023,158.410004,160.589996,158,160.550003,157.535675,4871000
12/4/2023,160.289993,162.789993,160.289993,161.100006,158.075363,5779000
12/5/2023,160.759995,162.470001,160.720001,161.389999,158.359909,4556700
12/6/2023,161.589996,162.350006,160.009995,160.279999,157.270737,3555900
12/7/2023,161,161.470001,159.970001,160.220001,157.211868,3665500
12/8/2023,160,162.039993,160,161.960007,158.919205,4560400
12/11/2023,162.679993,163.649994,161.949997,163.509995,160.440094,6077200
12/12/2023,163.270004,166.339996,162.919998,164.710007,161.617569,5292300
12/13/2023,164.369995,164.970001,162.740005,163.619995,160.548035,4989100
12/14/2023,162.929993,163.5,160.149994,162.910004,159.851364,6129800
12/15/2023,162.300003,164.089996,162.039993,162.229996,159.184128,11015600
12/18/2023,162.229996,163.330002,161.580002,162.740005,159.684555,3677300
12/19/2023,161.800003,162.279999,161.320007,161.559998,158.526718,3766600
12/20/2023,161.289993,161.800003,160.009995,160.050003,157.045059,4865800
12/21/2023,160.589996,161.080002,159.529999,160.779999,157.761353,2982900
12/22/2023,161.100006,162.410004,161,162.139999,159.095825,2439800
12/26/2023,162.229996,163.309998,162.050003,163.210007,160.145737,1772400
12/27/2023,163.139999,163.639999,162.679993,163.460007,160.391052,3234600
12/28/2023,163.960007,163.960007,163.399994,163.75,160.675598,2071300
12/29/2023,163.75,164.179993,162.830002,163.550003,160.479355,2525600
1/2/2024,162.830002,163.289993,160.460007,161.5,158.467834,3825000
1/3/2024,161,161.729996,160.080002,160.100006,157.094131,4086100
1/4/2024,160.220001,161.809998,160.169998,160.860001,157.839859,3212000
1/5/2024,159.910004,160.550003,158.669998,159.160004,156.171783,4199400
1/8/2024,158.690002,161.220001,157.889999,161.139999,158.114594,3321700
1/9/2024,160,160.479996,159.509995,160.080002,157.074509,2617200
1/10/2024,160.279999,161.339996,159.740005,161.229996,158.202896,2967800
1/11/2024,161.020004,162.229996,160.289993,162.160004,159.115448,3778200
1/12/2024,162.970001,165.979996,162.350006,165.800003,162.687103,4956400
1/16/2024,165.800003,167.25,165.339996,166.960007,163.825333,4869600
1/17/2024,166.789993,167.820007,165.5,166.080002,162.961853,4288600
1/18/2024,166.490005,166.990005,165.039993,166.839996,163.707565,3776900
1/19/2024,170.589996,171.580002,169.179993,171.479996,168.260452,6925800
1/22/2024,172.820007,174.449997,172.399994,172.830002,169.585129,4926000
1/23/2024,172.899994,174.020004,172.479996,173.940002,170.674286,3983500
1/24/2024,174.759995,174.860001,172.899994,173.929993,170.664459,9097800
1/25/2024,184.960007,196.899994,184.830002,190.429993,186.85466,29596200
1/26/2024,191.309998,192.389999,186.160004,187.419998,183.901184,9895900
1/29/2024,187.460007,189.460007,186.050003,187.139999,183.62645,6107900
1/30/2024,187.710007,188.649994,186.770004,187.869995,184.342728,4575100
1/31/2024,187.050003,187.649994,183.139999,183.660004,180.211777,8876100
2/1/2024,183.630005,187.509995,182.710007,186.899994,183.390945,4669400
2/2/2024,187.100006,187.389999,185.619995,185.789993,182.301788,4054200
2/5/2024,185.509995,185.779999,183.259995,183.419998,179.976288,4379600
2/6/2024,183.550003,184.679993,183.039993,183.410004,179.966476,3337600
2/7/2024,183.339996,184.020004,182.630005,183.740005,180.290283,4841200
2/8/2024,182.630005,184.550003,181.490005,184.360001,182.547867,5161200
2/9/2024,184.440002,187.179993,183.850006,186.339996,184.508408,5064600
2/12/2024,185.899994,186.479996,184.029999,186.160004,184.330185,4724000
2/13/2024,184.279999,184.770004,182.360001,183.699997,181.894363,4290500
2/14/2024,185,185,182.259995,183.570007,181.76564,3173400
2/15/2024,183.619995,186.979996,183.619995,186.869995,185.033203,4714300
2/16/2024,186.630005,188.949997,185.949997,187.639999,185.795639,4841900
2/20/2024,187.639999,188.770004,183.059998,183.440002,181.636917,4247200
2/21/2024,182.559998,183.029999,178.75,179.699997,177.93367,4728500
2/22/2024,182.449997,184.550003,181.929993,184.210007,182.399353,5078400
2/23/2024,184.899994,186.460007,184.570007,185.720001,183.894501,3433800
2/26/2024,185.600006,186.130005,184.059998,184.130005,182.320145,4620800
2/27/2024,184.160004,185.130005,182.619995,184.869995,183.052856,3641400
2/28/2024,184.630005,185.369995,183.550003,185.300003,183.478638,3216300
2/29/2024,186.149994,186.850006,184.690002,185.029999,183.211288,6458500
3/1/2024,185.490005,188.380005,185.179993,188.199997,186.350128,4017300
3/4/2024,187.759995,193.899994,187.600006,193.059998,191.162354,7938300
3/5/2024,192,193.940002,190.570007,191.949997,190.063263,5653600
3/6/2024,193.5,198.130005,192.960007,196.160004,194.231888,6945800
3/7/2024,197.580002,198.729996,196.139999,196.539993,194.608139,4604500
3/8/2024,196.059998,197.770004,194.380005,195.949997,194.023956,3942500
3/11/2024,195.089996,195.380005,190.880005,191.729996,189.845428,4725100
3/12/2024,192.460007,199.179993,192.149994,197.779999,195.835968,5880100
3/13/2024,197.550003,198.100006,195.320007,196.699997,194.766571,3993300
3/14/2024,196.949997,197.75,192.119995,193.429993,191.528717,4109600
3/15/2024,191.990005,193.059998,190.699997,191.070007,189.191925,8827900
3/18/2024,191.699997,193.229996,190.320007,191.690002,189.805832,5410600
3/19/2024,191.490005,193.580002,190.279999,193.339996,191.439606,5317300
3/20/2024,192.869995,193.979996,191.309998,193.960007,192.053513,3238600
3/21/2024,193,193.369995,190.009995,191.899994,190.013748,6013600
3/22/2024,192,192.990005,190.509995,190.839996,188.964172,3987700
3/25/2024,190.259995,190.820007,188.75,188.789993,186.934326,3718300
3/26/2024,189.020004,190,188.5,188.5,186.647186,4229500
3/27/2024,189.600006,190.960007,188.600006,190.800003,188.924576,3693300
3/28/2024,190.940002,191.929993,190.339996,190.960007,189.083008,3742200
4/1/2024,190,190.460007,188.520004,1890.830002,187.964111,2364300
4/2/2024,189.139999,189.800003,187.600006,1880.880005,187.023453,2693500
4/3/2024,188.600006,191.350006,188.490005,1900.899994,189.02359,2826200
4/4/2024,192,193.279999,187.339996,1870.940002,186.092682,2983900
4/5/2024,188.589996,190.320007,188.020004,1890.139999,187.280884,2013600
4/8/2024,189.240005,190.240005,188.910004,1890.820007,187.954208,2678300
4/9/2024,190.539993,191.25,186.660004,1890.309998,187.449219,2794200
4/10/2024,187.419998,187.919998,185.520004,1860.039993,184.211349,3081700
4/11/2024,186.039993,186.800003,184.580002,1850.899994,184.072723,2861700
4/12/2024,184,185.169998,181.690002,1820.270004,180.478424,3545100
4/15/2024,185.570007,187.479996,180.880005,1810.25,179.468445,3528100
4/16/2024,185.589996,185.710007,182.860001,1830.75,181.943863,4473700
4/17/2024,184.160004,184.669998,181.779999,1830.100006,181.300262,3003000
4/18/2024,182.350006,183.460007,180.169998,1810.470001,179.686279,2886700
4/19/2024,182.429993,182.800003,180.570007,1810.580002,179.795197,3037600
4/22/2024,182.449997,183.320007,180.449997,1810.899994,180.112045,3076500
4/23/2024,182.729996,184.679993,179,1820.190002,180.3992,5950200
4/24/2024,183.169998,184.289993,181.399994,1840.100006,182.290436,7616600
4/25/2024,168.199997,172.449997,165.660004,1680.910004,167.249741,16702200
4/26/2024,167.5,167.869995,165.729996,1670.130005,165.487244,8983800
4/29/2024,167.399994,168.220001,166.229996,1670.429993,165.784271,5242200
4/30/2024,166.490005,166.759995,165.259995,1660.199997,164.566376,6011600
5/1/2024,165.690002,166.270004,164.300003,164.429993,162.813766,4029900
5/2/2024,164.350006,164.880005,162.619995,164.690002,163.071213,3829900
5/3/2024,165,166.610001,164.919998,165.710007,164.081192,3400400
