Random Seed,NSamples,Event,Shapley Value,t (event index),Entity,Tolerance
42,32000,Pruned Events,0.09933775544844264,1,cycling_1,0.075
42,32000,Event -1,0.015730853372538947,0,cycling_4,0.05
42,32000,Event -2,0.027768279616525268,-1,cycling_4,0.05
42,32000,Event -3,0.02469562825116238,-2,cycling_4,0.05
42,32000,Event -4,0.021517242908487687,-3,cycling_4,0.05
42,32000,Event -5,0.02727603351234153,-4,cycling_4,0.05
42,32000,Event -6,0.01106464100302617,-5,cycling_4,0.05
42,32000,Event -7,0.02059448537514954,-6,cycling_4,0.05
42,32000,Event -8,0.030279052219331012,-7,cycling_4,0.05
42,32000,Event -9,0.027317814118666336,-8,cycling_4,0.05
42,32000,Event -10,0.019677640074395437,-9,cycling_4,0.05
42,32000,Event -11,0.008647061279590591,-10,cycling_4,0.05
42,32000,Event -12,0.006982559660373214,-11,cycling_4,0.05
42,32000,Event -13,0.019029009167987512,-12,cycling_4,0.05
42,32000,Event -14,0.007625739025577942,-13,cycling_4,0.05
42,32000,Event -15,0.012516236789226046,-14,cycling_4,0.05
42,32000,Event -16,0.006954655239291417,-15,cycling_4,0.05
42,32000,Event -17,0.0029395359337265337,-16,cycling_4,0.05
42,32000,Event -18,0.0103565002722813,-17,cycling_4,0.05
42,32000,Event -19,0.006041311912875824,-18,cycling_4,0.05
42,32000,Pruned Events,0.060755125513226316,1,cycling_4,0.05
42,32000,Event -1,0.015431952379502123,0,cycling_4,0.075
42,32000,Event -2,0.027893462251790742,-1,cycling_4,0.075
42,32000,Event -3,0.024879626844755004,-2,cycling_4,0.075
42,32000,Event -4,0.02180281421485218,-3,cycling_4,0.075
42,32000,Event -5,0.02703992278221562,-4,cycling_4,0.075
42,32000,Event -6,0.010311594784088607,-5,cycling_4,0.075
42,32000,Event -7,0.020718504471264984,-6,cycling_4,0.075
42,32000,Event -8,0.03005938177998918,-7,cycling_4,0.075
42,32000,Event -9,0.027330495110429336,-8,cycling_4,0.075
