Coalition,t (event index),Shapley Value,Entity
Sum of contribution of events ≤ t,-50,0.002949923276901245,cycling_1
Sum of contribution of events > t,-51,0.4400245323777199,cycling_1
Sum of contribution of events ≤ t,-51,0.002623029053211212,cycling_1
Sum of contribution of events > t,-52,0.4402436092495918,cycling_1
Sum of contribution of events ≤ t,-52,0.002403952181339264,cycling_1
Sum of contribution of events > t,-53,0.4403652176260948,cycling_1
Sum of contribution of events ≤ t,-53,0.002282343804836273,cycling_1
Sum of contribution of events > t,-54,0.44056933373212814,cycling_1
Sum of contribution of events ≤ t,-54,0.002078227698802948,cycling_1
Sum of contribution of events > t,-55,0.4406956657767296,cycling_1
Sum of contribution of events ≤ t,-55,0.0019518956542015076,cycling_1
Sum of contribution of events > t,-56,0.44089581072330475,cycling_1
Sum of contribution of events ≤ t,-56,0.0017517507076263428,cycling_1
Sum of contribution of events > t,-57,0.4410472586750984,cycling_1
Sum of contribution of events ≤ t,-57,0.0016003027558326721,cycling_1
Sum of contribution of events > t,-58,0.4412725418806076,cycling_1
Sum of contribution of events ≤ t,-58,0.0013750195503234863,cycling_1
Sum of contribution of events > t,-59,0.4413711950182915,cycling_1
Sum of contribution of events ≤ t,-59,0.001276366412639618,cycling_1
Sum of contribution of events > t,-60,0.4414827972650528,cycling_1
Sum of contribution of events ≤ t,-60,0.001164764165878296,cycling_1
Sum of contribution of events > t,-61,0.441534124314785,cycling_1
Sum of contribution of events ≤ t,-61,0.0011134371161460876,cycling_1
Sum of contribution of events > t,-62,0.441622719168663,cycling_1
Sum of contribution of events ≤ t,-62,0.0010248422622680664,cycling_1
Sum of contribution of events > t,-63,0.44174572825431824,cycling_1
Sum of contribution of events ≤ t,-63,0.000901833176612854,cycling_1
Sum of contribution of events > t,-64,0.44183510541915894,cycling_1
Sum of contribution of events ≤ t,-64,0.0008124560117721558,cycling_1
Sum of contribution of events > t,-65,0.44189149141311646,cycling_1
Sum of contribution of events ≤ t,-65,0.0007560700178146362,cycling_1
Sum of contribution of events > t,-66,0.44195272773504257,cycling_1
Sum of contribution of events ≤ t,-66,0.0006948336958885193,cycling_1
Sum of contribution of events > t,-67,0.4419877901673317,cycling_1
Sum of contribution of events ≤ t,-67,0.0006597712635993958,cycling_1
Sum of contribution of events > t,-68,0.44203685969114304,cycling_1
Sum of contribution of events ≤ t,-68,0.0006107017397880554,cycling_1
Sum of contribution of events > t,-69,0.44211558997631073,cycling_1
Sum of contribution of events ≤ t,-69,0.0005319714546203613,cycling_1
Sum of contribution of events > t,-70,0.4421491473913193,cycling_1
Sum of contribution of events ≤ t,-70,0.0004984140396118164,cycling_1
Sum of contribution of events > t,-71,0.44217706471681595,cycling_1
Sum of contribution of events ≤ t,-71,0.0004704967141151428,cycling_1
Sum of contribution of events > t,-72,0.4422236457467079,cycling_1
Sum of contribution of events ≤ t,-72,0.00042391568422317505,cycling_1
Sum of contribution of events > t,-73,0.442276731133461,cycling_1
Sum of contribution of events ≤ t,-73,0.0003708302974700928,cycling_1
Sum of contribution of events > t,-74,0.44231031090021133,cycling_1
Sum of contribution of events ≤ t,-74,0.0003372505307197571,cycling_1
Sum of contribution of events > t,-75,0.4423280879855156,cycling_1
Sum of contribution of events ≤ t,-75,0.0003194734454154968,cycling_1
Sum of contribution of events > t,-76,0.44237104803323746,cycling_1
Sum of contribution of events ≤ t,-76,0.00027651339769363403,cycling_1
Sum of contribution of events > t,-77,0.44238297641277313,cycling_1
Sum of contribution of events ≤ t,-77,0.000264585018157959,cycling_1
Sum of contribution of events > t,-78,0.4424123540520668,cycling_1
Sum of contribution of events ≤ t,-78,0.00023520737886428833,cycling_1
Sum of contribution of events > t,-79,0.44242381304502487,cycling_1
Sum of contribution of events ≤ t,-79,0.00022374838590621948,cycling_1
Sum of contribution of events > t,-80,0.4424290806055069,cycling_1
Sum of contribution of events ≤ t,-80,0.00021848082542419434,cycling_1
Sum of contribution of events > t,-81,0.4424436390399933,cycling_1
Sum of contribution of events ≤ t,-81,0.00020392239093780518,cycling_1
Sum of contribution of events > t,-82,0.4424634501338005,cycling_1
Sum of contribution of events ≤ t,-82,0.00018411129713058472,cycling_1
Sum of contribution of events > t,-83,0.4424741491675377,cycling_1
Sum of contribution of events ≤ t,-83,0.0001734122633934021,cycling_1
Sum of contribution of events > t,-84,0.4424870163202286,cycling_1
Sum of contribution of events ≤ t,-84,0.00016054511070251465,cycling_1
Sum of contribution of events > t,-85,0.4424985721707344,cycling_1
Sum of contribution of events ≤ t,-85,0.0001489892601966858,cycling_1
Sum of contribution of events > t,-86,0.4425090402364731,cycling_1
Sum of contribution of events ≤ t,-86,0.0001385211944580078,cycling_1
Sum of contribution of events > t,-87,0.44252242892980576,cycling_1
Sum of contribution of events ≤ t,-87,0.0001251325011253357,cycling_1
Sum of contribution of events > t,-88,0.4425400495529175,cycling_1
Sum of contribution of events ≤ t,-88,0.00010751187801361084,cycling_1
Sum of contribution of events > t,-89,0.44254640489816666,cycling_1
Sum of contribution of events ≤ t,-89,0.00010115653276443481,cycling_1
Sum of contribution of events > t,-90,0.44255347549915314,cycling_1
Sum of contribution of events ≤ t,-90,9.40859317779541e-05,cycling_1
Sum of contribution of events > t,-91,0.4425615593791008,cycling_1
Sum of contribution of events ≤ t,-91,8.600205183029175e-05,cycling_1
Sum of contribution of events > t,-92,0.44256606698036194,cycling_1
Sum of contribution of events ≤ t,-92,8.149445056915283e-05,cycling_1
Sum of contribution of events > t,-93,0.4425721690058708,cycling_1
Sum of contribution of events ≤ t,-93,7.539242506027222e-05,cycling_1
Sum of contribution of events > t,-94,0.44258012622594833,cycling_1
Sum of contribution of events ≤ t,-94,6.743520498275757e-05,cycling_1
Sum of contribution of events > t,-95,0.44258520007133484,cycling_1
Sum of contribution of events ≤ t,-95,6.236135959625244e-05,cycling_1
Sum of contribution of events > t,-96,0.442590095102787,cycling_1
Sum of contribution of events ≤ t,-96,5.7466328144073486e-05,cycling_1
Sum of contribution of events > t,-97,0.44259441643953323,cycling_1
Sum of contribution of events ≤ t,-97,5.3144991397857666e-05,cycling_1
Sum of contribution of events > t,-98,0.4425995200872421,cycling_1
Sum of contribution of events ≤ t,-98,4.8041343688964844e-05,cycling_1
Sum of contribution of events > t,-99,0.44260358810424805,cycling_1
Sum of contribution of events ≤ t,-99,4.3973326683044434e-05,cycling_1
Sum of contribution of events > t,-100,0.4426083266735077,cycling_1
Sum of contribution of events ≤ t,-100,3.923475742340088e-05,cycling_1
Sum of contribution of events > t,-101,0.4426109492778778,cycling_1
Sum of contribution of events ≤ t,-101,3.661215305328369e-05,cycling_1
Sum of contribution of events > t,-102,0.44261278212070465,cycling_1
Sum of contribution of events ≤ t,-102,3.477931022644043e-05,cycling_1
Sum of contribution of events > t,-103,0.44261567294597626,cycling_1
Sum of contribution of events ≤ t,-103,3.1888484954833984e-05,cycling_1
Sum of contribution of events > t,-104,0.44261909276247025,cycling_1
Sum of contribution of events ≤ t,-104,2.8468668460845947e-05,cycling_1
Sum of contribution of events > t,-105,0.44262177497148514,cycling_1
Sum of contribution of events ≤ t,-105,2.578645944595337e-05,cycling_1
Sum of contribution of events > t,-106,0.4426244646310806,cycling_1
Sum of contribution of events ≤ t,-106,2.3096799850463867e-05,cycling_1
Sum of contribution of events > t,-107,0.4426252320408821,cycling_1
Sum of contribution of events ≤ t,-107,2.2329390048980713e-05,cycling_1
Sum of contribution of events > t,-108,0.44262680411338806,cycling_1
Sum of contribution of events ≤ t,-108,2.0757317543029785e-05,cycling_1
Sum of contribution of events > t,-109,0.44262833148241043,cycling_1
Sum of contribution of events ≤ t,-109,1.92299485206604e-05,cycling_1
Sum of contribution of events > t,-110,0.44263026863336563,cycling_1
Sum of contribution of events ≤ t,-110,1.7292797565460205e-05,cycling_1
Sum of contribution of events > t,-111,0.44263213127851486,cycling_1
Sum of contribution of events ≤ t,-111,1.5430152416229248e-05,cycling_1
Sum of contribution of events > t,-112,0.44263363629579544,cycling_1
Sum of contribution of events ≤ t,-112,1.3925135135650635e-05,cycling_1
Sum of contribution of events > t,-113,0.4426351636648178,cycling_1
Sum of contribution of events ≤ t,-113,1.239776611328125e-05,cycling_1
Sum of contribution of events > t,-114,0.44263672828674316,cycling_1
Sum of contribution of events ≤ t,-114,1.0833144187927246e-05,cycling_1
Sum of contribution of events > t,-115,0.4426378235220909,cycling_1
Sum of contribution of events ≤ t,-115,9.737908840179443e-06,cycling_1
